name	interpretation
\cbl	left curly brace (open only)
\cb	auto-sized curly braces around argument
\cbmat	matrix wrapped in auto-sized curly braces
\paren	auto-sized parentheses around argument
\pmat	matrix formatted with parentheses (pmatrix)
\sparen	fixed-size parentheses around argument
\sb	auto-sized square brackets around argument
\distop	operator-name distribution/function dispatcher
\sbmat	matrix formatted with square brackets (bmatrix)
\Prf	Pr(·) probability expression
\am	arg max operator
\argmax	arg max operator (alias for \am)
\p	probability density/mass function symbol p
\f	probability density function symbol f
\F	cumulative distribution function symbol F
\h	hazard function symbol h
\H	cumulative hazard function symbol H
\pr	probability function symbol (alias for \p)
\dens	probability density symbol (alias for \p)
\pdens	probability density symbol (alias for \p)
\fdens	f-style density symbol (alias for \f)
\mass	probability mass symbol (alias for \P)
\pmass	probability mass symbol (alias for \P)
\fmass	F-style mass symbol (alias for \F)
\S	survival function symbol S
\Sf	survival function S(·) applied to argument
\surv	survival function symbol (alias for \S)
\survf	survival function applied to argument (alias for \Sf)
\riskset	risk set symbol ℛ (survival analysis)
\risksetf	risk set at time t: ℛ(t)
\Q	quantile function symbol Q
\quantile	quantile function symbol (alias for \Q)
\Qf	quantile function Q(·) applied to argument
\quantilef	quantile function applied to argument (alias for \Qf)
\hQ	estimated quantile function Q̂
\hquantile	estimated quantile function (alias for \hQ)
\hQf	estimated quantile function Q̂(·) applied to argument
\hquantilef	estimated quantile function applied to argument (alias for \hQf)
\ph	estimated probability p-hat
\P	probability operator P
\hp	estimated probability (alias for \ph)
\ga	Greek letter alpha (α)
\a	Greek letter alpha (alias for \ga)
\b	Greek letter beta (β)
\g	Greek letter gamma (γ)
\floor	floor function ⌊·⌋
\ceiling	ceiling function ⌈·⌉
\ceil	ceiling function (alias for \ceiling)
\Ber	Bernoulli distribution label
\Bernoulli	Bernoulli distribution label (long form)
\Pois	Poisson distribution label
\Poisson	Poisson distribution label (long form)
\Gaus	Gaussian distribution label
\Normal	Normal distribution label N
\ndist	Normal distribution expression N(·)
\NB	Negative Binomial distribution label
\NegBin	Negative Binomial label (long form)
\vbeta	beta coefficient vector
\vb	beta vector (alias for \vbeta)
\v0	zero vector
\vzero	zero vector (alias for \v0)
\gb	Greek letter beta (alias for \b)
\gg	Greek letter gamma (alias for \g)
\gd	Greek letter delta (δ)
\eps	varepsilon error term (ε)
\veps	error vector (ε-vector)
\epsp	ε(·) error function
\epsf	ε(·) error function (alias for \epsp)
\om	Greek letter omega (ω)
\m	Greek letter mu / population mean (μ)
\mean	population mean symbol μ
\pmean	population mean symbol (alias for \mean)
\popmean	population mean symbol (alias for \mean)
\vm	mean vector (μ-vector)
\s	Greek letter sigma (σ)
\l	Greek letter lambda (λ)
\gl	Greek letter lambda (alias for \l)
\lam	Greek letter lambda (alias for \l)
\k	Greek letter kappa (κ)
\cs	conditional survival probability Pr(T>t|T≥t)
\condsurv	conditional survival probability (alias for \cs)
\gs	Greek letter sigma (alias for \s)
\gm	Greek letter mu (alias for \m)
\M	uppercase M symbol (italic variable, alias for mean/moment)
\gM	uppercase M symbol (alias for \M)
\Mu	uppercase M symbol (alias for \M)
\cd	centered dot multiplication symbol (·)
\cds	centered ellipsis (⋯)
\lds	lower ellipsis (…)
\eqdef	equals-by-definition symbol (≝)
\defeq	equals-by-definition (alias for \eqdef)
\hb	estimated beta coefficient β̂
\hvb	estimated beta vector (β̂-vector)
\hk	estimated kappa κ̂
\hkappa	estimated kappa (alias for \hk)
\hl	estimated lambda λ̂
\hy	fitted / predicted value ŷ
\yh	fitted value ŷ (alias for \hy)
\V	variance operator symbol Var
\hs	estimated sigma σ̂
\hsig	estimated sigma (alias for \hs)
\hS	estimated covariance matrix Σ̂
\hSig	estimated Sigma (alias for \hS)
\hSigma	estimated Sigma (alias for \hS)
\hsurv	estimated survival function
\hSurv	estimated survival function (alias for \hsurv)
\hSurvf	estimated survival function Ŝ(·) applied to argument
\dist	distributes as relation (∼)
\ddist	approximately distributes as (∿)
\dsim	approximately distributes as (alias for \ddist)
\za	normal critical value z_{1−α/2}
\ciradsym	confidence interval radius symbol (ξ)
\cirad	confidence interval radius expression
\ciradf	confidence interval radius with argument
\ci	full confidence interval expression
\th	Greek letter theta (θ)
\vth	theta parameter vector
\Th	uppercase Theta (Θ)
\xbar	sample mean x̄
\hth	estimated theta θ̂
\hthml	maximum likelihood estimate of theta
\ba	begin aligned math environment
\ea	end aligned math environment
\ind	statistical independence symbol (⊥⊥)
\indpt	independence symbol (alias for \ind)
\indold	independence symbol (legacy Unicode)
\all	universal quantifier (∀)
\iid	i.i.d. label
\ciid	conditionally i.i.d. label
\simind	independently distributed relation
\siid	i.i.d. distributed relation
\sciid	c.i.i.d. distributed relation
\simiid	i.i.d. distributed (alias for \siid)
\distiid	i.i.d. distributed (alias for \siid)
\tf	therefore symbol (∴)
\Lik	likelihood script symbol (ℒ)
\llik	log-likelihood symbol (ℓ)
\loglik	log-likelihood symbol (alias for \llik)
\logl	log-likelihood symbol (alias for \llik)
\llikf	log-likelihood function ℓ(·)
\deviation	deviation symbol e
\devn	deviation symbol (alias for \deviation)
\deviationv	deviation vector ẽ
\devnv	deviation vector (alias for \deviationv)
\Deviation	uppercase deviation symbol E
\Devn	uppercase deviation (alias for \Deviation)
\residual	residual symbol r
\resid	residual symbol (alias for \residual)
\residv	residual vector r̃
\Residual	uppercase residual symbol R
\Resid	uppercase residual (alias for \Residual)
\stdresidual	standardized residual r′
\stdresid	standardized residual (alias for \stdresidual)
\StdResidual	uppercase standardized residual R′
\StdResid	uppercase standardized residual (alias)
\modresidual	modified residual r*
\modresid	modified residual (alias for \modresidual)
\ModResidual	uppercase modified residual R*
\ModResid	uppercase modified residual (alias)
\score	score function ℓ′
\scorev	score vector
\scorei	per-observation score vector ℓ′_i
\scorevi	per-observation score vector (alias for \scorei)
\scoref	score function ℓ′(·)
\hess	Hessian of log-likelihood ℓ″
\hessm	Hessian matrix (alias for \hess)
\hessian	Hessian (alias for \hess)
\hessij	(i,j) element of the Hessian
\hessijalt	(i,j) Hessian in bracket notation
\hessf	Hessian function ℓ″(·)
\hessianf	Hessian function (alias for \hessf)
\starf	starred / optimal version of argument
\lik	log-likelihood (alias for \llik)
\est	estimated / hat version of argument
